designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 2249336254805222144,2249336254805222144,295.91643780174036,68.24615336506997,0.2697341360751691,-0.9548104033700604,3.3666398273639113,1.0166297,17.412024,0.9912033,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5111.7236,4.6687,-1.821,1558.2426,0.006,0.0049,0.0027
Gaia DR3 2249336254805425024,2249336254805425024,295.9069838570086,68.23857940480153,,,,,21.0896,2.1374931,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2249336259099819392,2249336259099819392,295.91233299599827,68.24199827217723,1.572913003421222,20.620682730620423,20.28260994160968,1.1228299,19.035526,2.5389843,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2249336259101304448,2249336259101304448,295.9057652261637,68.24154783695693,1.0411593405647124,-0.48089099435787186,-4.21928695686451,0.94091594,13.6246,0.75977707,-12.590704,NOT_AVAILABLE,0,true,true,false,false,false,true,true,6347.257,4.1508,-0.3623,940.903,0.2775,0.2377,0.1281
Gaia DR3 2013054440114821120,2013054440114821120,358.549767273259,62.76031479436013,0.8468169394647707,-0.5893361025116596,-0.4269145007812372,1.2827605,14.575913,,,NOT_AVAILABLE,0,false,false,false,false,false,false,true,,,,,,,
Gaia DR3 2013054440114823040,2013054440114823040,358.5333624251729,62.75595350394262,1.40413285422128,-12.363461798367144,-0.6753054103460153,1.1153865,18.828304,2.48345,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3398.615,4.4853,-1.1444,430.1225,0.9004,0.5928,0.3562
Gaia DR3 2013054440115368704,2013054440115368704,358.54031994899697,62.76141815840081,0.5007067336589903,2.2244064321851984,-1.764054914835918,0.9625256,20.795536,1.9836998,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2013054440115498624,2013054440115498624,358.5325098594567,62.753139828302295,0.2080551283678277,-0.3100502096401723,-3.5046605313866923,0.8674339,20.789738,1.3668556,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2013054440115498880,2013054440115498880,358.53233748016225,62.75234860732249,-0.6258021901871196,-3.4031118083114498,-0.3412996370179681,0.9984734,20.654783,1.3632832,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2013054440115499648,2013054440115499648,358.5426967749376,62.75495618302378,0.3745180878126811,0.13689881113646654,1.2259673094043555,1.0657518,20.577065,1.626934,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2013054440116147456,2013054440116147456,358.54185790920036,62.755893608240214,,,,,21.015476,0.031173706,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2013054440123102080,2013054440123102080,358.534126279356,62.758416649424504,2.202783712792224,1.397559590471453,-5.683048042548397,1.0597028,17.758589,2.4644299,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,3699.9841,4.689,-0.4342,415.0685,1.4715,0.9865,0.576
Gaia DR3 2013054440123103232,2013054440123103232,358.55008085602486,62.760009159403936,0.8545112966798241,-0.07135255999347007,-0.6208457775831042,1.7021155,12.503846,0.98139477,-30.537588,NOT_AVAILABLE,0,true,true,false,false,false,true,true,7009.071,3.6555,-0.3844,1077.1393,1.1669,1.0,0.5421
Gaia DR3 2013054440123104384,2013054440123104384,358.54295080188643,62.75713132146978,0.5609714240565793,1.6228532768824233,-0.8807633838745087,1.0546287,17.939497,1.7672596,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,4649.442,4.6973,-1.5825,876.0218,1.4304,1.0737,0.5871
Gaia DR3 2013054440123104640,2013054440123104640,358.53188411183595,62.75460935371497,3.4355675864995874,43.56015730639406,6.640069756134255,1.1293206,15.527872,1.9635649,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4187.8755,4.6456,0.2701,305.368,0.9023,0.6432,0.352
Gaia DR3 2013054440123106944,2013054440123106944,358.53603556336077,62.75251864017467,0.32286877209249853,-3.0932436769714697,-1.1302827272773972,1.0275527,19.411179,1.6600285,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2013054440123108480,2013054440123108480,358.5348359343491,62.750711970300365,0.7052107166056307,-0.19990930279989452,-0.28621703410512195,0.9476236,20.191757,1.561285,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2013054470172139520,2013054470172139520,358.5593856890306,62.749878953042476,0.052612991357465125,-1.8370594320176215,-0.6338446629889799,0.9659279,19.170033,1.6435452,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2013054470172149248,2013054470172149248,358.55783826604033,62.75134813207135,0.015055500523228543,-1.7769854258162896,0.10717559898962443,1.0925125,19.75477,1.9710426,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2013054470172212736,2013054470172212736,358.5882410900406,62.760925232010706,-0.5335876559922476,-0.3741146669029164,2.8838075506409937,1.0373235,20.092436,1.7624321,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2013054474474566016,2013054474474566016,358.56610010200546,62.75889093344268,0.14744330889190288,-0.9284887169455257,-0.5647424415745874,0.99947953,18.937641,1.6187973,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3783.612,4.9262,-0.8262,858.0148,0.0109,0.0078,0.0042
Gaia DR3 2013054474474567040,2013054474474567040,358.56453378860857,62.758304362335544,0.31164439311828107,-4.282813063556842,-1.4384721037896833,0.96663225,16.811987,1.5194635,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,7714.176,4.405,-0.6203,1992.7816,2.7262,2.2535,1.2329
Gaia DR3 2013054474474570368,2013054474474570368,358.56215219518015,62.75449077352214,,,,,21.048187,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2013054474474576640,2013054474474576640,358.5584084431043,62.74846185406492,1.0157823092435085,-1.2493093887450302,0.020733924428400365,1.0410509,19.519157,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2013054474475119104,2013054474475119104,358.57470691333015,62.76219316945168,0.5687748676326398,-1.751729388397268,-0.8964869508766531,1.0395793,20.568306,1.6889057,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2013054474475465728,2013054474475465728,358.5711578646532,62.75879551416214,,,,,20.790342,1.3575706,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2013054474475810432,2013054474475810432,358.5824236254211,62.75460847535324,,,,,21.015999,0.5596123,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2013054474482844928,2013054474482844928,358.58898903169575,62.76305102668949,0.8726834865413995,-0.4973409763040861,-2.121196053761019,1.0338602,17.579803,1.7200623,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4168.6675,4.5122,-0.6861,991.0415,0.6259,0.4582,0.2454
Gaia DR3 2013054474482845440,2013054474482845440,358.5741523800469,62.7597804216913,0.3960532951873583,-2.1286518524167737,0.7609062550613233,1.1106787,19.411072,1.7379761,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2013054474482847488,2013054474482847488,358.58555977781987,62.75912476453364,0.6734035926639919,2.7570916184877374,5.005162782717675,1.0471848,15.348769,1.3433781,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5518.221,4.1735,-1.2144,1105.1191,1.1592,0.929,0.5104
Gaia DR3 2013054474482847744,2013054474482847744,358.5629025665465,62.754558602792414,0.2816528631093035,-3.4871309210936814,-1.3614954704023154,1.407342,17.86013,1.7345161,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,4215.0854,4.2254,-2.2408,964.4239,0.8293,0.6113,0.3329
Gaia DR3 2013054474482848000,2013054474482848000,358.56986539331467,62.75570500162283,0.19312250509773352,-3.1333459874678535,-0.5913711210431991,0.92185503,17.638916,1.4955959,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5893.973,4.6097,-3.8703,1376.612,1.7727,1.4153,0.7903
