source_id,x,y,z,phot_g_mean_mag,bp_rp
5890463155869190272,-1167.3823217513661,-1455.07318157078,-2224.5010883224118,18.568146,1.8469429
5890463155869191936,-5900.908071433054,-7355.887738296245,-11244.11958508908,18.497965,1.9258823
5890463155871069440,-753.2369629919125,-938.9788563994844,-1435.609492372595,17.39496,1.6181087
5890463155872537600,-1167.4644008116861,-1455.0182020393836,-2224.8505608562023,17.927803,1.9665146
5890463155872544000,-1095.2528354976416,-1364.9292467414828,-2086.6167416746644,18.14552,2.1307926
5890463155872549504,-1965.654928674452,-2449.611678786456,-3744.078199130178,18.23271,2.3034325
5890463155873959424,-1517.1466128739946,-1890.285364575346,-2890.0340015119527,18.80989,1.9784546
5890463155873962368,-2328.9878768970493,-2902.0149264918687,-4437.742784537538,19.141453,2.1832657
5890463155873962624,-685.7349005417731,-854.4730473506586,-1306.3884211008306,19.187853,2.0300426
5890463160171392000,-656.1587098875737,-817.8125250256738,-1250.6245979804874,19.98271,1.8280582
5890463160171393152,-454.3818465398796,-566.3751052810208,-866.0371038841624,19.932598,1.8791637
1945662761102082816,1733.9269089273423,-1158.537722438718,1246.02736264213,16.721697,0.89845085
1945662795461781120,1160.6918604167038,-772.952523434834,831.2435415409594,14.773924,0.81364155
1945662829821518720,2441.518425230536,-1625.4651093657687,1748.5730696069236,18.877,0.72483253
1945662859883414656,3775.27156118757,-2514.8593554965246,2703.5055984914393,18.672512,1.0893536
1945662859883419136,951.5405288469414,-633.8960492392634,681.6765946705348,17.897009,1.5157375
1945662864181261568,361.8600838128706,-241.10595832888572,259.1856142456689,18.015476,2.3573055
1945662894243159040,-1706.8915073815126,1136.9607986285719,-1222.8768921988,19.263905,0.90278435
5890654161657007616,-1330.855051146336,-1664.921600264146,-2437.9388041248376,18.496887,1.3766079
5890654161660448512,-2069.2654295228645,-2587.392088941776,-3789.2605666640743,17.727484,1.7044296
5890654161663159936,-4259.0369092834935,-5324.53936873779,-7798.773129304495,18.5557,1.341095
5890654161663254400,-795.0773396364403,-994.6518728669437,-1456.6619788931873,19.449762,1.673851
5890654165968753280,-256.9540571191919,-321.36032382470546,-470.7717161295752,19.866875,1.3822765
5890654165968776960,6354.484122482396,7947.48361542981,11640.464058343923,19.230312,2.4021263
5890654165968805888,-1088.5775910769155,-1361.3030585217757,-1993.5389295594425,19.054054,1.3689327
5890654165968823552,-480.7193025906533,-601.0962572015901,-880.1923846517308,18.445372,1.664465
5890531673500510080,-630.5171368229607,-759.5775804688349,-1151.525717818236,19.956377,1.6670742
5890531673500519168,-1553.9534279344864,-1871.897676853439,-2837.4219773241034,19.388441,1.6325226
5890531673500521856,2489.6070577651453,2998.420994964425,4545.439360579878,19.633648,1.923666
5890531673501230080,2178.9263264090955,2624.44305538345,3980.820177690134,19.992346,1.8013306
5890531673501230592,-1269.4158691144262,-1528.7951098897233,-2318.816640108024,19.468557,1.7670689
5890531673501231744,-408.9323200467894,-492.4776436374403,-746.8898229216535,19.6644,2.0251865
5890531673501232768,-1067.492755603958,-1285.5767494814488,-1949.582755693201,19.534843,1.8408813
5890531673501232896,-3183.531558413077,-3833.0383872316074,-5813.170418835065,19.824697,1.6271
5890531673501233280,2111.4055844930344,2542.2152497137436,3855.338525946792,19.193068,2.1631985
5890531673501233408,-1835.19782123289,-2209.6558974279483,-3350.856474879494,19.353342,1.8333721
5890399319806601600,-1358.8331368624133,-1770.2204778114822,-2601.868891054967,18.4714,1.5430889
5890399319806603904,7667.244976971577,9993.74540947272,14683.48932551139,19.07803,1.6541367
5890399319806610048,-3379.384085298761,-4402.919718903537,-6470.275262991939,19.46925,1.7333698
5890399319806612864,1843.862041209091,2401.91777017682,3529.948937813189,19.488644,1.4810009
5890399319806613376,20790.93398483424,27088.595146854324,39805.24869954108,19.444592,1.551815
5890399319806618752,-540.3329244027972,-703.8765167593207,-1034.3738815260504,18.917063,1.704134
5890399319806621952,-11292.455445750442,-14717.237568513357,-21620.10760003778,18.788233,1.560852
5890399319806625024,-829.6849316673524,-1081.1558698634844,-1588.3302677103493,18.925894,1.8488693
5890399319806628352,-2867.3168942339985,-3735.0882300387852,-5488.277243531998,19.991947,1.7315216
5890399319806630784,1069.429442118739,1392.8999370018357,2046.8319337693058,19.656956,1.8294735
5890399319806862080,-2025.9598059525588,-2639.15166442531,-3878.898406238143,19.991114,2.0384235
5890399319806864000,-1364.7394093329008,-1778.247457811038,-2612.688373494516,19.772583,1.7287807
5890399319806865408,2038.6750879813037,2656.164881303235,3902.317455339855,19.764566,
5890603519702176640,413.0276780467701,530.0139399379191,778.9522751767306,19.978365,1.4814491
5890603519702178432,7692.147393983412,9870.892289630765,14506.630605081242,19.323112,1.4287949
5890603519702182272,-4147.2065584328375,-5321.598419892508,-7820.627138576123,19.698944,1.4797363
5890603519702184704,801.9447704449319,1028.7760480439683,1512.0943922705455,19.488972,1.4761753
5890603519702185216,-1406.068390442288,-1804.6480489939474,-2651.603992119398,18.363731,1.6530218
5890603519702186112,-2854.1680322894676,-3662.078978278644,-5381.841337242808,18.884295,1.461874
5890603519702187648,-1449.8613620495107,-1859.6153185352402,-2733.5072675809583,19.985025,1.3800869
5890603519702198272,-2355.231282625101,-3021.0846491585557,-4440.033454728411,17.59672,1.5285759
5890603519702200320,2191.320566856633,2810.3192354514463,4130.727838313512,19.405785,1.8601627
5890463160171395968,-7076.21796298488,-8820.32540462838,-13486.31360630665,19.285398,2.021986
5890463160171397120,2662.410216155272,3317.8970623498294,5073.670235319956,19.121206,1.935154
5890463160171404800,2446.883831638788,3049.5618911142797,4662.315215265521,18.071625,2.0848217
5890463160171406080,-464.3813888154258,-578.673239945754,-884.7735168900213,19.706554,
5890463160171407744,1658.341094006512,2066.5696310595263,3159.5190878049693,19.51384,1.8881378
5890463160171411840,2739.1522397935073,3412.5660117166594,5218.02180921345,19.893934,
5890463160171419264,-635.0189472670869,-791.3676233312409,-1209.664628530564,19.921774,2.0264664
5890654165970773504,-711.1240322292181,-889.6567122030722,-1302.8164364816964,19.199314,1.4591999
5890463160171422208,5472.0275311553705,6819.136253161974,10423.002841123542,18.976442,2.3132114
5890654165970777088,-1263.6482659290898,-1580.6585508785556,-2314.7220389991967,18.553617,1.4101067
